,Unnamed: 0,wage,lwage,sex,shs,hsg,scl,clg,ad,mw,so,we,ne,exp1,exp2,exp3,exp4,occ,occ2,ind,ind2
28,164,16.8269230769231,2.82298016777619,0,0,0,0,1,0,0,0,0,1,8.0,0.64,0.512,0.4096,5400,17,4870,9
29,176,19.6703296703297,2.97911139231795,0,0,0,0,1,0,0,0,0,1,26.0,6.76,17.576,45.6976,6230,19,6570,11
30,191,42.3076923076923,3.74496892076498,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,4700,16,4795,9
31,206,13.9423076923077,2.63492793627325,1,0,0,1,0,0,0,0,0,1,15.5,2.4025,3.723875,5.77200625,5860,17,4670,9
32,213,10.0961538461538,2.3121545440102,1,0,0,1,0,0,0,0,0,1,9.0,0.81,0.729,0.6561,3500,10,8090,18
33,219,14.0532544378698,2.64285400154567,1,0,0,0,0,1,0,0,0,1,14.0,1.96,2.744,3.8416,2330,8,7860,17
34,221,11.965811965812,2.48205358080559,1,0,1,0,0,0,0,0,0,1,14.0,1.96,2.744,3.8416,430,1,2980,6
35,222,11.5384615384615,2.44568593663472,0,0,1,0,0,0,0,0,0,1,5.0,0.25,0.125,0.0625,8965,21,2980,6
36,225,24.0384615384615,3.17965511171492,1,0,0,0,1,0,0,0,0,1,31.0,9.61,29.791,92.3521,2630,9,4870,9
37,229,16.2721893491124,2.78945747573754,0,0,0,0,0,1,0,0,0,1,28.0,7.84,21.952,61.4656,4610,15,8290,18
38,231,11.5384615384615,2.44568593663472,0,0,1,0,0,0,0,0,0,1,11.0,1.21,1.331,1.4641,9130,22,6170,10
39,232,41.2087912087912,3.71865161244761,1,0,0,0,1,0,0,0,0,1,11.0,1.21,1.331,1.4641,4700,16,5790,9
40,245,21.6346153846154,3.07429459605709,1,0,0,1,0,0,0,0,0,1,17.5,3.0625,5.359375,9.37890625,5400,17,6695,11
41,248,11.2179487179487,2.41751505966802,0,0,1,0,0,0,0,0,0,1,12.0,1.44,1.728,2.0736,9130,22,6170,10
42,254,6.73076923076923,1.90668943590203,1,0,1,0,0,0,0,0,0,1,15.0,2.25,3.375,5.0625,3600,11,8270,18
43,261,10.0961538461538,2.3121545440102,0,0,1,0,0,0,0,0,0,1,27.0,7.29,19.683,53.1441,3600,11,8090,18
44,264,12.0192307692308,2.48650793115497,1,0,0,1,0,0,0,0,0,1,6.5,0.4225,0.274625,0.17850625,4110,13,8680,20
45,265,14.0224358974359,2.64065861098223,0,0,1,0,0,0,0,0,0,1,12.0,1.44,1.728,2.0736,9620,22,8870,21
46,276,28.8461538461538,3.36197666850887,0,0,1,0,0,0,0,0,0,1,41.0,16.81,68.921,282.5761,9620,22,4970,9
47,280,7.21153846153846,1.97568230738898,1,0,0,1,0,0,0,0,0,1,17.5,3.0625,5.359375,9.37890625,4720,16,4980,9
48,281,11.7788461538462,2.46630522383745,1,0,0,0,1,0,0,0,0,1,7.0,0.49,0.343,0.2401,5860,17,6870,12
49,282,26.9230769230769,3.29298379702192,0,0,0,0,0,1,0,0,0,1,23.0,5.29,12.167,27.9841,20,1,8680,20
50,286,12.9370629370629,2.56009628781246,0,0,0,1,0,0,0,0,0,1,34.5,11.9025,41.063625,141.66950625,9000,22,5670,9
51,291,13.0769230769231,2.57084907958872,1,0,0,0,1,0,0,0,0,1,10.0,1.0,1.0,1.0,725,2,8590,19
52,298,15.3846153846154,2.7333680090865,0,0,1,0,0,0,0,0,0,1,36.0,12.96,46.656,167.9616,8965,21,2190,5
53,299,22.5,3.11351530921037,1,0,0,0,0,1,0,0,0,1,35.0,12.25,42.875,150.0625,2310,8,7860,17
54,319,100.0,4.60517018598809,1,0,0,0,0,1,0,0,0,1,27.0,7.29,19.683,53.1441,850,2,6970,12
55,348,11.5384615384615,2.44568593663472,0,0,1,0,0,0,0,0,0,1,41.0,16.81,68.921,282.5761,3600,11,8270,18
56,352,11.5384615384615,2.44568593663472,0,0,1,0,0,0,0,0,0,1,15.0,2.25,3.375,5.0625,4010,13,8680,20
57,366,21.6346153846154,3.07429459605709,1,0,0,0,1,0,0,0,0,1,23.0,5.29,12.167,27.9841,3320,10,8190,18
58,367,5.76923076923077,1.75253875607477,1,0,1,0,0,0,0,0,0,1,26.0,6.76,17.576,45.6976,4020,13,8190,18
59,368,8.50591715976331,2.14076205774843,0,0,0,1,0,0,0,0,0,1,4.5,0.2025,0.091125,0.04100625,4220,14,8590,19
60,375,33.9892665474061,3.52604478499348,0,0,0,0,1,0,0,0,0,1,21.0,4.41,9.261,19.4481,5600,17,3680,6
61,376,19.2307692307692,2.95651156040071,1,0,1,0,0,0,0,0,0,1,29.0,8.41,24.389,70.7281,5700,17,7970,18
62,378,15.7211538461538,2.75500718418998,1,0,0,0,1,0,0,0,0,1,2.0,0.04,0.008,0.0016,5940,17,8290,18
63,379,23.0769230769231,3.13883311719466,0,0,0,0,1,0,0,0,0,1,5.0,0.25,0.125,0.0625,7630,20,4170,7
64,399,23.3338675213675,3.14990584689208,0,0,0,0,1,0,0,0,0,1,27.0,7.29,19.683,53.1441,120,1,6970,12
65,402,20.3296703296703,3.01208141155552,1,0,0,1,0,0,0,0,0,1,33.0,10.89,35.937,118.5921,7700,21,1280,5
66,416,16.8269230769231,2.82298016777619,1,0,0,0,1,0,0,0,0,1,7.0,0.49,0.343,0.2401,3640,11,7870,17
67,430,9.44055944055944,2.24501524117257,0,0,1,0,0,0,0,0,0,1,25.0,6.25,15.625,39.0625,4020,13,8680,20
68,431,6.73076923076923,1.90668943590203,0,0,1,0,0,0,0,0,0,1,7.0,0.49,0.343,0.2401,6820,19,770,4
69,433,19.9038461538462,2.99091298711804,1,0,0,0,0,1,0,0,0,1,19.0,3.61,6.859,13.0321,2010,6,9480,22
70,436,6.04395604395604,1.79905877170967,0,0,0,0,1,0,0,0,0,1,3.0,0.09,0.027,0.0081,4760,16,5170,9
71,442,19.2307692307692,2.95651156040071,1,0,1,0,0,0,0,0,0,1,36.0,12.96,46.656,167.9616,3255,10,8190,18
72,445,10.5769230769231,2.35867455964509,1,0,1,0,0,0,0,0,0,1,19.0,3.61,6.859,13.0321,4110,13,8680,20
73,464,10.5769230769231,2.35867455964509,0,0,1,0,0,0,0,0,0,1,28.0,7.84,21.952,61.4656,4220,14,7870,17
74,466,22.5961538461538,3.11777970799683,1,0,0,1,0,0,0,0,0,1,34.0,11.56,39.304,133.6336,3500,10,8090,18
75,467,28.8461538461538,3.36197666850887,0,0,1,0,0,0,0,0,0,1,33.0,10.89,35.937,118.5921,8220,21,3680,6
76,471,21.4285714285714,3.06472514504094,1,0,0,0,1,0,0,0,0,1,10.0,1.0,1.0,1.0,2310,8,7860,17
77,472,17.0940170940171,2.83872852474433,0,0,1,0,0,0,0,0,0,1,12.0,1.44,1.728,2.0736,50,1,7380,14
78,475,18.75,2.93119375241642,1,0,0,1,0,0,0,0,0,1,5.5,0.3025,0.166375,0.09150625,3700,12,9470,22
79,480,9.61538461538461,2.26336437984076,1,0,1,0,0,0,0,0,0,1,7.0,0.49,0.343,0.2401,5700,17,3895,6
80,482,19.2307692307692,2.95651156040071,0,0,1,0,0,0,0,0,0,1,10.0,1.0,1.0,1.0,6230,19,770,4
81,483,9.61538461538461,2.26336437984076,0,0,1,0,0,0,0,0,0,1,9.0,0.81,0.729,0.6561,6260,19,770,4
82,493,16.0,2.77258872223978,0,0,1,0,0,0,0,0,0,1,25.0,6.25,15.625,39.0625,4250,14,7770,16
83,494,25.6410256410256,3.24419363285249,0,0,0,1,0,0,0,0,0,1,26.5,7.0225,18.609625,49.31550625,4850,16,4270,7
84,496,21.6346153846154,3.07429459605709,1,0,0,0,1,0,0,0,0,1,20.0,4.0,8.0,16.0,5700,17,7770,16
85,500,8.54700854700855,2.14558134418438,0,1,0,0,0,0,0,0,0,1,37.0,13.69,50.653,187.4161,6800,19,490,2
86,517,23.7315875613748,3.16680696923707,0,0,1,0,0,0,0,0,0,1,19.0,3.61,6.859,13.0321,7700,21,3580,6
87,540,10.4395604395604,2.34560247807774,0,1,0,0,0,0,0,0,0,1,26.0,6.76,17.576,45.6976,100000,21,100000,5
88,546,11.1607142857143,2.41239995900125,0,0,0,1,0,0,0,0,0,1,3.0,0.09,0.027,0.0081,7200,20,8770,21
89,558,51.9230769230769,3.94976333341099,0,0,0,0,1,0,0,0,0,1,2.0,0.04,0.008,0.0016,850,2,6970,12
90,560,19.2307692307692,2.95651156040071,1,0,0,0,1,0,0,0,0,1,4.0,0.16,0.064,0.0256,735,2,4795,9
91,563,33.6538461538462,3.51612734833613,1,0,0,0,1,0,0,0,0,1,4.0,0.16,0.064,0.0256,710,2,7390,14
92,567,12.0192307692308,2.48650793115497,1,0,1,0,0,0,0,0,0,1,5.0,0.25,0.125,0.0625,3600,11,8270,18
93,573,16.8269230769231,2.82298016777619,0,0,0,1,0,0,0,0,0,1,4.0,0.16,0.064,0.0256,7200,20,8770,21
94,574,14.4230769230769,2.66882948794893,0,0,0,1,0,0,0,0,0,1,4.5,0.2025,0.091125,0.04100625,6230,19,770,4
95,576,19.2307692307692,2.95651156040071,0,0,0,1,0,0,0,0,0,1,4.5,0.2025,0.091125,0.04100625,100000,20,6180,10
96,589,21.6346153846154,3.07429459605709,0,0,0,0,1,0,0,0,0,1,1.0,0.01,0.001,0.0001,850,2,7390,14
97,610,3.36538461538462,1.21354225534209,0,0,0,0,1,0,0,0,0,1,2.0,0.04,0.008,0.0016,7200,20,4670,9
98,620,12.9807692307692,2.5634689722911,1,0,0,0,1,0,0,0,0,1,5.0,0.25,0.125,0.0625,2310,8,7860,17
99,629,17.6715176715177,2.87195417237265,1,0,0,0,1,0,0,0,0,1,38.0,14.44,54.872,208.5136,5120,17,7280,14
100,631,12.6278044871795,2.5359010880909,1,0,1,0,0,0,0,0,0,1,21.0,4.41,9.261,19.4481,7700,21,3970,6
101,651,20.1923076923077,3.00530172457014,1,0,0,0,1,0,0,0,0,1,25.0,6.25,15.625,39.0625,4300,15,8590,19
102,652,19.2307692307692,2.95651156040071,0,0,0,1,0,0,0,0,0,1,7.5,0.5625,0.421875,0.31640625,5610,17,2690,6
103,669,21.8531468531469,3.08434493191059,0,0,1,0,0,0,0,0,0,1,12.0,1.44,1.728,2.0736,430,1,2490,6
104,675,18.2692307692308,2.90521826601316,0,0,0,1,0,0,0,0,0,1,16.5,2.7225,4.492125,7.41200625,4220,14,8270,18
105,679,13.9423076923077,2.63492793627325,1,0,1,0,0,0,0,0,0,1,9.0,0.81,0.729,0.6561,3600,11,8270,18
106,687,24.0384615384615,3.17965511171492,1,0,0,1,0,0,0,0,0,1,33.0,10.89,35.937,118.5921,3255,10,7860,17
107,691,14.9038461538462,2.70161931077192,0,1,0,0,0,0,0,0,0,1,29.0,8.41,24.389,70.7281,4220,14,7070,13
108,694,12.0192307692308,2.48650793115497,0,0,0,0,1,0,0,0,0,1,1.0,0.01,0.001,0.0001,4610,15,8290,18
109,703,18.1318681318681,2.89767106037778,0,0,0,0,1,0,0,0,0,1,1.0,0.01,0.001,0.0001,4220,14,7690,16
110,705,10.8131868131868,2.3807663905354,0,0,0,0,1,0,0,0,0,1,15.0,2.25,3.375,5.0625,4020,13,8680,20
111,716,21.5384615384615,3.06984024570771,1,0,0,0,0,1,0,0,0,1,30.0,9.0,27.0,81.0,2320,8,7860,17
112,723,9.61538461538461,2.26336437984076,1,0,0,1,0,0,0,0,0,1,3.5,0.1225,0.042875,0.01500625,3420,10,5070,9
113,724,22.1153846153846,3.09627350277587,1,0,0,0,1,0,0,0,0,1,18.0,3.24,5.832,10.4976,830,2,6870,12
114,733,14.957264957265,2.7051971321198,1,0,0,0,1,0,0,0,0,1,5.0,0.25,0.125,0.0625,650,2,8370,18
115,743,15.3846153846154,2.7333680090865,1,0,0,1,0,0,0,0,0,1,23.5,5.5225,12.977875,30.49800625,5240,17,7180,13
116,744,13.4105769230769,2.59604371822328,0,0,0,1,0,0,0,0,0,1,29.5,8.7025,25.672375,75.73350625,4760,16,100000,9
117,759,17.7984615384615,2.87911202313921,0,0,1,0,0,0,0,0,0,1,5.0,0.25,0.125,0.0625,8965,21,3770,6
118,765,15.3846153846154,2.7333680090865,1,0,0,1,0,0,0,0,0,1,6.5,0.4225,0.274625,0.17850625,5700,17,9570,22
119,769,18.2692307692308,2.90521826601316,0,0,0,0,1,0,0,0,0,1,1.0,0.01,0.001,0.0001,5000,17,5380,9
120,791,11.0576923076923,2.40312632221592,0,0,0,0,1,0,0,0,0,1,19.0,3.61,6.859,13.0321,9620,22,2370,5
121,793,23.0769230769231,3.13883311719466,1,0,0,0,0,1,0,0,0,1,7.0,0.49,0.343,0.2401,2320,8,7860,17
122,794,15.1098901098901,2.71534950358382,0,0,0,0,1,0,0,0,0,1,2.0,0.04,0.008,0.0016,800,2,7280,14
123,800,20.3639423076923,3.01376580298227,1,0,0,0,0,1,0,0,0,1,29.0,8.41,24.389,70.7281,4700,16,5080,9
124,809,12.0192307692308,2.48650793115497,0,0,0,1,0,0,0,0,0,1,35.5,12.6025,44.738875,158.82300625,9130,22,6170,10
125,811,14.4230769230769,2.66882948794893,1,0,0,1,0,0,0,0,0,1,32.5,10.5625,34.328125,111.56640625,5240,17,1990,5
126,819,24.5201923076923,3.19949695392846,1,0,0,1,0,0,0,0,0,1,29.5,8.7025,25.672375,75.73350625,5700,17,9490,22
127,820,24.2307692307692,3.1876232813641,0,0,0,0,0,1,0,0,0,1,2.0,0.04,0.008,0.0016,800,2,7280,14
128,822,16.4835164835165,2.80236088057345,1,0,0,0,1,0,0,0,0,1,13.0,1.69,2.197,2.8561,5600,17,6490,11
129,824,28.8461538461538,3.36197666850887,0,0,0,1,0,0,0,0,0,1,8.0,0.64,0.512,0.4096,110,1,9570,22
130,827,15.8653846153846,2.76413966775325,0,0,0,1,0,0,0,0,0,1,6.5,0.4225,0.274625,0.17850625,7950,21,2890,6
131,828,19.2307692307692,2.95651156040071,0,0,1,0,0,0,0,0,0,1,31.0,9.61,29.791,92.3521,20,1,5275,9
132,837,9.89010989010989,2.29153525680746,0,0,1,0,0,0,0,0,0,1,16.0,2.56,4.096,6.5536,7200,20,8770,21
133,842,36.0576923076923,3.58512021982308,1,0,0,0,1,0,0,0,0,1,23.0,5.29,12.167,27.9841,420,1,9170,21
134,843,9.61538461538461,2.26336437984076,0,1,0,0,0,0,0,0,0,1,28.0,7.84,21.952,61.4656,4020,13,8680,20
135,848,13.1868131868132,2.57921732925924,1,0,1,0,0,0,0,0,0,1,14.0,1.96,2.744,3.8416,4230,14,8660,20
136,858,28.8461538461538,3.36197666850887,0,0,1,0,0,0,0,0,0,1,40.0,16.0,64.0,256.0,4700,16,4870,9
137,861,16.8269230769231,2.82298016777619,1,0,0,0,1,0,0,0,0,1,1.0,0.01,0.001,0.0001,2000,6,7870,17
138,865,31.25,3.44201937618241,1,0,0,0,1,0,0,0,0,1,15.0,2.25,3.375,5.0625,3255,10,8190,18
139,874,37.9554655870445,3.63641351421063,0,0,0,0,1,0,0,0,0,1,10.0,1.0,1.0,1.0,5800,17,6990,12
140,876,29.7142857142857,3.391627930646,0,0,1,0,0,0,0,0,0,1,8.0,0.64,0.512,0.4096,4040,13,8680,20
141,878,8.65384615384615,2.15800386418294,0,0,0,0,0,1,0,0,0,1,10.0,1.0,1.0,1.0,2310,8,7860,17
142,884,27.6923076923077,3.32115467398862,0,0,0,1,0,0,0,0,0,1,13.5,1.8225,2.460375,3.32150625,3930,12,7680,16
143,891,62.5,4.13516655674236,0,0,0,0,1,0,0,0,0,1,12.0,1.44,1.728,2.0736,1060,3,6990,12
144,892,28.8461538461538,3.36197666850887,1,0,0,0,1,0,0,0,0,1,9.0,0.81,0.729,0.6561,540,2,6990,12
145,893,15.625,2.74887219562247,1,0,0,1,0,0,0,0,0,1,16.0,2.56,4.096,6.5536,5860,17,9470,22
146,911,17.3076923076923,2.85115104474288,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,800,2,7280,14
147,920,16.8269230769231,2.82298016777619,0,0,0,0,1,0,0,0,0,1,3.0,0.09,0.027,0.0081,735,2,4490,8
148,923,8.01282051282051,2.08104282304681,0,0,0,1,0,0,0,0,0,1,15.5,2.4025,3.723875,5.77200625,8140,21,2770,6
149,924,19.2307692307692,2.95651156040071,0,0,0,0,1,0,0,0,0,1,1.0,0.01,0.001,0.0001,20,1,8680,20
150,936,17.0,2.83321334405622,1,0,1,0,0,0,0,0,0,1,20.0,4.0,8.0,16.0,5610,17,2390,5
151,938,11.0576923076923,2.40312632221592,1,0,0,1,0,0,0,0,0,1,5.0,0.25,0.125,0.0625,3600,11,8190,18
152,942,9.61538461538461,2.26336437984076,1,0,0,1,0,0,0,0,0,1,8.0,0.64,0.512,0.4096,310,1,8680,20
153,945,10.0961538461538,2.3121545440102,0,0,0,1,0,0,0,0,0,1,10.5,1.1025,1.157625,1.21550625,6240,19,770,4
154,952,11.0576923076923,2.40312632221592,0,0,0,0,1,0,0,0,0,1,5.0,0.25,0.125,0.0625,630,2,8090,18
155,953,16.8269230769231,2.82298016777619,1,0,0,0,1,0,0,0,0,1,6.0,0.36,0.216,0.1296,2000,6,7870,17
156,954,22.0,3.09104245335832,0,0,1,0,0,0,0,0,0,1,12.0,1.44,1.728,2.0736,4760,16,4670,9
157,955,15.3846153846154,2.7333680090865,1,0,1,0,0,0,0,0,0,1,12.0,1.44,1.728,2.0736,8255,21,1990,5
158,960,24.0384615384615,3.17965511171492,0,0,1,0,0,0,0,0,0,1,29.0,8.41,24.389,70.7281,9130,22,6170,10
159,966,36.0576923076923,3.58512021982308,0,0,0,0,1,0,0,0,0,1,13.0,1.69,2.197,2.8561,800,2,9590,22
160,977,27.1629807692308,3.30185504516749,1,0,0,0,0,1,0,0,0,1,1.0,0.01,0.001,0.0001,1650,5,9480,22
161,982,19.2307692307692,2.95651156040071,0,0,0,1,0,0,0,0,0,1,17.5,3.0625,5.359375,9.37890625,1050,3,7460,14
162,985,17.6923076923077,2.87312995146166,1,0,0,0,1,0,0,0,0,1,21.0,4.41,9.261,19.4481,430,1,7390,14
163,1003,22.5,3.11351530921037,0,0,0,0,1,0,0,0,0,1,6.0,0.36,0.216,0.1296,8740,21,3960,6
164,1012,21.3711538461538,3.06204206161017,0,0,0,1,0,0,0,0,0,1,31.5,9.9225,31.255875,98.45600625,2630,9,2970,6
165,1018,19.2307692307692,2.95651156040071,0,0,0,1,0,0,0,0,0,1,4.0,0.16,0.064,0.0256,1050,3,7860,17
166,1019,14.9038461538462,2.70161931077192,1,0,0,1,0,0,0,0,0,1,6.5,0.4225,0.274625,0.17850625,540,2,6990,12
167,1022,20.0,2.99573227355399,1,0,0,0,1,0,0,0,0,1,4.0,0.16,0.064,0.0256,5700,17,7380,14
168,1024,10.2307692307692,2.32539977076022,0,0,1,0,0,0,0,0,0,1,36.0,12.96,46.656,167.9616,8220,21,3390,6
169,1052,48.0769230769231,3.87280229227486,1,0,0,0,1,0,0,0,0,1,24.0,5.76,13.824,33.1776,4850,16,3390,6
170,1057,14.957264957265,2.7051971321198,0,0,0,1,0,0,0,0,0,1,3.5,0.1225,0.042875,0.01500625,5410,17,7670,16
171,1059,14.4230769230769,2.66882948794893,0,0,0,0,1,0,0,0,0,1,2.0,0.04,0.008,0.0016,7720,21,3365,6
172,1063,23.5042735042735,3.15718225586286,1,0,0,0,0,1,0,0,0,1,5.0,0.25,0.125,0.0625,3150,10,8090,18
173,1065,27.7777777777778,3.32423634052603,0,0,1,0,0,0,0,0,0,1,33.0,10.89,35.937,118.5921,9130,22,6380,10
174,1066,23.4615384615385,3.15536241914587,0,0,0,0,1,0,0,0,0,1,14.0,1.96,2.744,3.8416,2310,8,7860,17
175,1075,34.2307692307692,3.5331249247047,0,0,0,0,1,0,0,0,0,1,18.0,3.24,5.832,10.4976,630,2,770,4
176,1076,34.6153846153846,3.54429822530283,1,0,0,0,1,0,0,0,0,1,18.0,3.24,5.832,10.4976,565,2,6890,12
177,1079,9.13461538461539,2.21207108545321,1,0,1,0,0,0,0,0,0,1,5.0,0.25,0.125,0.0625,4110,13,8680,20
178,1080,16.8269230769231,2.82298016777619,0,0,1,0,0,0,0,0,0,1,7.0,0.49,0.343,0.2401,4220,14,7860,17
179,1083,38.4615384615385,3.64965874096066,0,0,0,0,1,0,0,0,0,1,29.0,8.41,24.389,70.7281,2340,8,7380,14
180,1084,16.8269230769231,2.82298016777619,0,0,0,1,0,0,0,0,0,1,5.5,0.3025,0.166375,0.09150625,310,1,8680,20
181,1098,16.8269230769231,2.82298016777619,0,0,0,0,1,0,0,0,0,1,5.0,0.25,0.125,0.0625,630,2,5380,9
182,1101,12.2749590834697,2.50756134035281,1,0,0,1,0,0,0,0,0,1,3.5,0.1225,0.042875,0.01500625,2300,8,8470,18
183,1105,10.0,2.30258509299405,1,0,0,1,0,0,0,0,0,1,9.0,0.81,0.729,0.6561,4700,16,5180,9
184,1108,12.9807692307692,2.5634689722911,0,0,0,1,0,0,0,0,0,1,7.0,0.49,0.343,0.2401,9420,22,6290,10
185,1109,16.6420118343195,2.8119303315896,0,0,0,0,1,0,0,0,0,1,3.0,0.09,0.027,0.0081,4220,14,4470,8
186,1143,14.4230769230769,2.66882948794893,0,0,0,1,0,0,0,0,0,1,10.5,1.1025,1.157625,1.21550625,5610,17,3580,6
187,1161,24.867374005305,3.2135566633906,0,0,0,0,1,0,0,0,0,1,33.0,10.89,35.937,118.5921,1105,3,7270,14
188,1169,8.74125874125874,2.16805420003644,0,0,0,1,0,0,0,0,0,1,19.5,3.8025,7.414875,14.45900625,4700,16,4670,9
189,1174,21.3675213675214,3.06187207605854,1,0,0,1,0,0,0,0,0,1,29.0,8.41,24.389,70.7281,5700,17,8090,18
190,1176,23.6538461538462,3.16352572978504,1,0,0,0,0,1,0,0,0,1,9.0,0.81,0.729,0.6561,420,1,9190,21
191,1178,12.0192307692308,2.48650793115497,1,0,0,0,1,0,0,0,0,1,3.0,0.09,0.027,0.0081,5240,17,6890,12
192,1184,11.2179487179487,2.41751505966802,1,0,0,1,0,0,0,0,0,1,13.0,1.69,2.197,2.8561,3645,11,7970,18
193,1185,9.61538461538461,2.26336437984076,0,0,1,0,0,0,0,0,0,1,20.0,4.0,8.0,16.0,6400,19,770,4
194,1195,6.90335305719921,1.93200724388632,0,0,0,1,0,0,0,0,0,1,4.5,0.2025,0.091125,0.04100625,5620,17,5380,9
195,1215,19.2307692307692,2.95651156040071,0,0,0,0,1,0,0,0,0,1,6.0,0.36,0.216,0.1296,4000,13,8680,20
196,1220,12.5,2.52572864430826,1,0,0,1,0,0,0,0,0,1,4.0,0.16,0.064,0.0256,4000,13,8590,19
197,1221,12.0,2.484906649788,1,0,0,1,0,0,0,0,0,1,3.0,0.09,0.027,0.0081,3255,10,8170,18
198,1222,19.2307692307692,2.95651156040071,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,3420,10,4970,9
199,1223,12.8830769230769,2.55591458368941,0,0,1,0,0,0,0,0,0,1,8.0,0.64,0.512,0.4096,6220,19,770,4
200,1224,14.4230769230769,2.66882948794893,0,0,0,0,1,0,0,0,0,1,4.0,0.16,0.064,0.0256,5860,17,7590,16
201,1232,43.1623931623932,3.76496958747165,0,0,0,0,1,0,0,0,0,1,29.0,8.41,24.389,70.7281,430,1,3580,6
202,1234,9.72527472527472,2.27472813849108,1,0,0,1,0,0,0,0,0,1,4.5,0.2025,0.091125,0.04100625,5120,17,5370,9
203,1235,23.4615384615385,3.15536241914587,0,0,1,0,0,0,0,0,0,1,14.0,1.96,2.744,3.8416,6220,19,770,4
204,1238,31.25,3.44201937618241,1,0,0,0,0,1,0,0,0,1,29.0,8.41,24.389,70.7281,3230,10,7860,17
205,1240,20.1048951048951,3.00096332297154,1,0,0,0,0,1,0,0,0,1,31.0,9.61,29.791,92.3521,4600,15,8470,18
