"","abdt","tg","inuidur1","inuidur2","female","black","hispanic","othrace","dep","q1","q2","q3","q4","q5","q6","recall","agelt35","agegt54","durable","nondurable","lusd","husd","muld"
"120",10838,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"121",10565,2,28,28,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"122",10516,4,2,2,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0
"123",10586,6,20,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"124",10740,2,6,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
"125",10607,6,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"126",10537,0,18,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"127",10677,6,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"128",10516,5,27,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"129",10586,3,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
"130",10789,2,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"131",10649,2,27,27,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"132",10796,0,28,28,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"133",10684,0,25,25,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"134",10649,3,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"135",10796,4,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"136",10544,0,13,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"137",10810,2,1,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0
"138",10810,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"139",10621,2,27,27,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"140",10565,2,16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"141",10593,6,27,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"142",10698,6,7,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"143",10572,6,6,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"144",10523,5,20,20,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"145",10635,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"146",10614,6,6,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"147",10418,5,37,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"148",10586,2,27,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"149",10565,6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"150",10558,3,26,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"151",10621,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"152",10747,0,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"153",10747,4,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"154",10803,5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"155",10761,4,10,10,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
"156",10824,4,27,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"157",10726,6,28,28,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"158",10782,5,12,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"159",10572,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
"160",10810,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"161",10880,2,27,27,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"162",10628,6,11,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"163",10614,0,20,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"164",10551,0,27,27,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"165",10523,1,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"166",10852,0,27,27,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"167",10593,0,24,24,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"168",10663,5,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0
"169",10817,1,27,27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"170",10544,3,20,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"171",10691,4,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"172",10600,0,8,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"173",10544,0,27,27,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"174",10740,3,16,16,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"175",10635,6,14,14,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"176",10719,4,19,19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"177",10810,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"178",10768,5,23,23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"179",10705,2,5,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"180",10663,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"181",10726,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"182",10516,3,22,22,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"183",10516,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"184",10474,5,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"185",10831,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"186",10775,4,27,27,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"187",10642,3,17,17,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
"188",10712,6,6,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"189",10782,0,27,27,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
"190",10551,2,27,27,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
"191",10614,4,17,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"192",10628,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"193",10656,3,13,13,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"194",10607,2,7,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"195",10607,0,20,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"196",10831,0,4,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"197",10628,3,7,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"198",10817,4,7,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"199",10607,2,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"200",10873,0,10,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
"201",10719,1,9,9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
"202",10558,6,25,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"203",10698,1,27,27,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
"204",10593,4,27,27,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"205",10873,5,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"206",10831,0,4,4,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"207",10768,0,33,15,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
"208",10866,0,25,25,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"209",10761,5,27,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"210",10649,5,2,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"211",10873,0,27,27,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
"212",10523,6,15,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"213",10691,5,6,6,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"214",10600,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"215",10621,0,27,27,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"216",10859,5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"217",10516,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"218",10523,3,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"219",10824,3,9,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"220",10859,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"221",10593,3,10,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"222",10565,0,28,9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"223",10572,3,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"224",10530,2,27,27,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"225",10670,3,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"226",10621,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"227",10523,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"228",10712,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
"229",10663,2,30,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"230",10523,0,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"231",10607,4,23,23,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"232",10544,5,20,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"233",10698,3,20,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"234",10761,4,27,27,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"235",10845,4,29,29,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"236",10824,4,15,15,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"237",10817,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"238",10719,2,27,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"239",10614,6,6,6,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"240",10642,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"241",10649,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
"242",10544,0,5,5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"243",10866,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"244",10712,0,6,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"245",10789,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"246",10831,2,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"247",10579,5,14,14,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
"248",10537,4,27,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
"249",10579,4,27,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"250",10803,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"251",10880,0,27,27,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"252",10873,5,27,27,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"253",10845,5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"254",10817,1,12,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"255",10544,4,7,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"256",10579,0,6,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"257",10663,6,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"258",10614,6,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"259",10831,0,11,11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"260",10544,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"261",10754,5,6,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"262",10607,1,7,7,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"263",10810,4,12,12,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"264",10838,4,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"265",10691,3,26,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"266",10761,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"267",10726,5,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"268",10593,0,9,9,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"269",10544,5,37,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"270",10649,1,29,29,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"271",10740,6,27,27,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"272",10691,3,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"273",10523,0,23,23,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"274",10859,0,7,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"275",10852,0,15,15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"276",10726,2,27,27,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
