rownames,wage,lwage,sex,shs,hsg,scl,clg,ad,mw,so,we,ne,exp1,exp2,exp3,exp4,occ,occ2,ind,ind2
115,21.6,3.0726933146901194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,7.29,19.683,53.1441,6320,19,770,4
119,8.653846153846153,2.158003864182938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.1225,0.042875,0.01500625,7410,20,570,3
128,19.23076923076923,2.9565115604007097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.36,0.216,0.1296,7000,20,4690,9
129,13.186813186813186,2.5792173292592415,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.64,0.512,0.4096,4000,13,8680,20
135,10.683760683760683,2.3687248954985907,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.4225,0.274625,0.17850625,4300,15,8590,19
144,11.538461538461538,2.445685936634719,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,0.7225,0.614125,0.52200625,3600,11,8190,18
145,17.78846153846154,2.878550018930998,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,1.21,1.331,1.4641,2310,8,7860,17
149,19.23076923076923,2.9565115604007097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.21,1.331,1.4641,6200,19,770,4
152,16.304347826086957,2.791431810041261,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.5,6.0025,14.706125,36.03000625,20,1,5480,9
157,19.23076923076923,2.9565115604007097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.64,0.512,0.4096,4800,16,7390,14
158,14.423076923076923,2.668829487948929,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,430,1,7390,14
160,12.0,2.4849066497880004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.2025,0.091125,0.04100625,6330,19,770,4
164,16.826923076923077,2.822980167776187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.64,0.512,0.4096,5400,17,4870,9
176,19.67032967032967,2.9791113923179506,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,6.76,17.576,45.6976,6230,19,6570,11
191,42.30769230769231,3.74496892076498,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4700,16,4795,9
206,13.942307692307692,2.634927936273247,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.5,2.4025,3.723875,5.77200625,5860,17,4670,9
213,10.096153846153847,2.3121545440101965,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.81,0.729,0.6561,3500,10,8090,18
219,14.053254437869823,2.6428540015456683,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,1.96,2.744,3.8416,2330,8,7860,17
221,11.965811965811966,2.482053580805594,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.96,2.744,3.8416,430,1,2980,6
222,11.538461538461538,2.445685936634719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,8965,21,2980,6
225,24.03846153846154,3.1796551117149194,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,31.0,9.61,29.791,92.3521,2630,9,4870,9
229,16.272189349112427,2.7894574757375437,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,7.84,21.952,61.4656,4610,15,8290,18
231,11.538461538461538,2.445685936634719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.21,1.331,1.4641,9130,22,6170,10
232,41.20879120879121,3.7186516124476063,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,1.21,1.331,1.4641,4700,16,5790,9
245,21.634615384615383,3.074294596057093,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.5,3.0625,5.359375,9.37890625,5400,17,6695,11
248,11.217948717948717,2.417515059668023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.44,1.728,2.0736,9130,22,6170,10
254,6.730769230769231,1.906689435902032,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.25,3.375,5.0625,3600,11,8270,18
261,10.096153846153847,2.3121545440101965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,7.29,19.683,53.1441,3600,11,8090,18
264,12.01923076923077,2.486507931154974,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.4225,0.274625,0.17850625,4110,13,8680,20
265,14.022435897435898,2.6406586109822325,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.44,1.728,2.0736,9620,22,8870,21
276,28.846153846153847,3.361976668508874,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,16.81,68.921,282.5761,9620,22,4970,9
280,7.211538461538462,1.9756823073889835,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.5,3.0625,5.359375,9.37890625,4720,16,4980,9
281,11.778846153846153,2.4663052238374545,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.49,0.343,0.2401,5860,17,6870,12
282,26.923076923076923,3.2929837970219227,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,5.29,12.167,27.9841,20,1,8680,20
286,12.937062937062937,2.5600962878124633,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,34.5,11.9025,41.063625,141.66950625,9000,22,5670,9
291,13.076923076923077,2.570849079588725,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,725,2,8590,19
298,15.384615384615385,2.7333680090865,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,12.96,46.656,167.9616,8965,21,2190,5
299,22.5,3.1135153092103742,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,12.25,42.875,150.0625,2310,8,7860,17
319,100.0,4.605170185988092,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,7.29,19.683,53.1441,850,2,6970,12
348,11.538461538461538,2.445685936634719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,16.81,68.921,282.5761,3600,11,8270,18
352,11.538461538461538,2.445685936634719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.25,3.375,5.0625,4010,13,8680,20
366,21.634615384615383,3.074294596057093,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,5.29,12.167,27.9841,3320,10,8190,18
367,5.769230769230769,1.7525387560747736,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,6.76,17.576,45.6976,4020,13,8190,18
368,8.505917159763314,2.140762057748432,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.2025,0.091125,0.04100625,4220,14,8590,19
375,33.98926654740608,3.5260447849934784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,21.0,4.41,9.261,19.4481,5600,17,3680,6
376,19.23076923076923,2.9565115604007097,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,8.41,24.389,70.7281,5700,17,7970,18
378,15.721153846153847,2.755007184189981,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.04,0.008,0.0016,5940,17,8290,18
379,23.076923076923077,3.138833117194664,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,7630,20,4170,7
399,23.333867521367523,3.149905846892085,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,7.29,19.683,53.1441,120,1,6970,12
402,20.32967032967033,3.0120814115555206,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,10.89,35.937,118.5921,7700,21,1280,5
416,16.826923076923077,2.822980167776187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.49,0.343,0.2401,3640,11,7870,17
430,9.44055944055944,2.2450152411725677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,6.25,15.625,39.0625,4020,13,8680,20
431,6.730769230769231,1.906689435902032,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.49,0.343,0.2401,6820,19,770,4
433,19.903846153846153,2.990912987118042,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,3.61,6.859,13.0321,2010,6,9480,22
436,6.043956043956044,1.7990587717096664,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.09,0.027,0.0081,4760,16,5170,9
442,19.23076923076923,2.9565115604007097,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,12.96,46.656,167.9616,3255,10,8190,18
445,10.576923076923077,2.358674559645089,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,3.61,6.859,13.0321,4110,13,8680,20
464,10.576923076923077,2.358674559645089,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,7.84,21.952,61.4656,4220,14,7870,17
466,22.596153846153847,3.117779707996832,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,11.56,39.304,133.6336,3500,10,8090,18
467,28.846153846153847,3.361976668508874,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,10.89,35.937,118.5921,8220,21,3680,6
471,21.428571428571427,3.0647251450409425,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,2310,8,7860,17
472,17.094017094017094,2.8387285247443264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.44,1.728,2.0736,50,1,7380,14
475,18.75,2.9311937524164198,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,0.3025,0.166375,0.09150625,3700,12,9470,22
480,9.615384615384615,2.2633643798407643,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.49,0.343,0.2401,5700,17,3895,6
482,19.23076923076923,2.9565115604007097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,6230,19,770,4
483,9.615384615384615,2.2633643798407643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.81,0.729,0.6561,6260,19,770,4
493,16.0,2.772588722239781,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,6.25,15.625,39.0625,4250,14,7770,16
494,25.641025641025642,3.2441936328524905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26.5,7.0225,18.609625,49.31550625,4850,16,4270,7
496,21.634615384615383,3.074294596057093,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,4.0,8.0,16.0,5700,17,7770,16
500,8.547008547008547,2.145581344184381,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,13.69,50.653,187.4161,6800,19,490,2
517,23.731587561374795,3.1668069692370704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,3.61,6.859,13.0321,7700,21,3580,6
540,10.43956043956044,2.3456024780777365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,6.76,17.576,45.6976,1e+05,21,1e+05,5
546,11.160714285714286,2.4123999590012524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.09,0.027,0.0081,7200,20,8770,21
558,51.92307692307692,3.949763333410993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.04,0.008,0.0016,850,2,6970,12
560,19.23076923076923,2.9565115604007097,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.16,0.064,0.0256,735,2,4795,9
563,33.65384615384615,3.5161273483361324,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.16,0.064,0.0256,710,2,7390,14
567,12.01923076923077,2.486507931154974,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,3600,11,8270,18
573,16.826923076923077,2.822980167776187,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.16,0.064,0.0256,7200,20,8770,21
574,14.423076923076923,2.668829487948929,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.2025,0.091125,0.04100625,6230,19,770,4
576,19.23076923076923,2.9565115604007097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0.2025,0.091125,0.04100625,1e+05,20,6180,10
589,21.634615384615383,3.074294596057093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.001,0.0001,850,2,7390,14
610,3.3653846153846154,1.2135422553420867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.04,0.008,0.0016,7200,20,4670,9
620,12.98076923076923,2.5634689722911026,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,2310,8,7860,17
629,17.671517671517673,2.871954172372647,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,38.0,14.44,54.872,208.5136,5120,17,7280,14
631,12.627804487179487,2.5359010880908954,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,4.41,9.261,19.4481,7700,21,3970,6
651,20.192307692307693,3.005301724570142,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,6.25,15.625,39.0625,4300,15,8590,19
652,19.23076923076923,2.9565115604007097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,0.5625,0.421875,0.31640625,5610,17,2690,6
669,21.853146853146853,3.0843449319105947,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.44,1.728,2.0736,430,1,2490,6
675,18.26923076923077,2.905218266013159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.5,2.7225,4.492125,7.41200625,4220,14,8270,18
679,13.942307692307692,2.634927936273247,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.81,0.729,0.6561,3600,11,8270,18
687,24.03846153846154,3.1796551117149194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,10.89,35.937,118.5921,3255,10,7860,17
691,14.903846153846153,2.7016193107719197,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,8.41,24.389,70.7281,4220,14,7070,13
694,12.01923076923077,2.486507931154974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.001,0.0001,4610,15,8290,18
703,18.13186813186813,2.8976710603777764,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.001,0.0001,4220,14,7690,16
705,10.813186813186814,2.3807663905354035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,2.25,3.375,5.0625,4020,13,8680,20
716,21.53846153846154,3.069840245707713,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,9.0,27.0,81.0,2320,8,7860,17
723,9.615384615384615,2.2633643798407643,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.1225,0.042875,0.01500625,3420,10,5070,9
724,22.115384615384617,3.0962735027758685,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,3.24,5.832,10.4976,830,2,6870,12
733,14.957264957264957,2.7051971321198036,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,650,2,8370,18
743,15.384615384615385,2.7333680090865,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23.5,5.5225,12.977875,30.49800625,5240,17,7180,13
744,13.410576923076922,2.596043718223276,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,29.5,8.7025,25.672375,75.73350625,4760,16,1e+05,9
759,17.798461538461538,2.8791120231392062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,8965,21,3770,6
765,15.384615384615385,2.7333680090865,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.4225,0.274625,0.17850625,5700,17,9570,22
769,18.26923076923077,2.905218266013159,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.001,0.0001,5000,17,5380,9
791,11.057692307692308,2.403126322215923,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19.0,3.61,6.859,13.0321,9620,22,2370,5
793,23.076923076923077,3.138833117194664,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.49,0.343,0.2401,2320,8,7860,17
794,15.10989010989011,2.7153495035838215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.04,0.008,0.0016,800,2,7280,14
800,20.36394230769231,3.013765802982271,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,8.41,24.389,70.7281,4700,16,5080,9
809,12.01923076923077,2.486507931154974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,35.5,12.6025,44.738875,158.82300625,9130,22,6170,10
811,14.423076923076923,2.668829487948929,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,32.5,10.5625,34.328125,111.56640625,5240,17,1990,5
819,24.52019230769231,3.199496953928459,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,29.5,8.7025,25.672375,75.73350625,5700,17,9490,22
820,24.23076923076923,3.1876232813640963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.04,0.008,0.0016,800,2,7280,14
822,16.483516483516482,2.8023608805734512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.69,2.197,2.8561,5600,17,6490,11
824,28.846153846153847,3.361976668508874,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.64,0.512,0.4096,110,1,9570,22
827,15.865384615384615,2.7641396677532537,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.4225,0.274625,0.17850625,7950,21,2890,6
828,19.23076923076923,2.9565115604007097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,9.61,29.791,92.3521,20,1,5275,9
837,9.89010989010989,2.2915352568074607,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.56,4.096,6.5536,7200,20,8770,21
842,36.05769230769231,3.5851202198230836,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,5.29,12.167,27.9841,420,1,9170,21
843,9.615384615384615,2.2633643798407643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,7.84,21.952,61.4656,4020,13,8680,20
848,13.186813186813186,2.5792173292592415,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.96,2.744,3.8416,4230,14,8660,20
858,28.846153846153847,3.361976668508874,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,16.0,64.0,256.0,4700,16,4870,9
861,16.826923076923077,2.822980167776187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.001,0.0001,2000,6,7870,17
865,31.25,3.4420193761824107,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,2.25,3.375,5.0625,3255,10,8190,18
874,37.955465587044536,3.636413514210634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,5800,17,6990,12
876,29.714285714285715,3.391627930646005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.64,0.512,0.4096,4040,13,8680,20
878,8.653846153846153,2.158003864182938,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,2310,8,7860,17
884,27.692307692307693,3.321154673988619,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,1.8225,2.460375,3.32150625,3930,12,7680,16
891,62.5,4.135166556742356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,1.44,1.728,2.0736,1060,3,6990,12
892,28.846153846153847,3.361976668508874,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.81,0.729,0.6561,540,2,6990,12
893,15.625,2.7488721956224653,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.56,4.096,6.5536,5860,17,9470,22
911,17.307692307692307,2.8511510447428834,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,800,2,7280,14
920,16.826923076923077,2.822980167776187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.09,0.027,0.0081,735,2,4490,8
923,8.012820512820513,2.08104282304681,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.5,2.4025,3.723875,5.77200625,8140,21,2770,6
924,19.23076923076923,2.9565115604007097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.001,0.0001,20,1,8680,20
936,17.0,2.833213344056216,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,4.0,8.0,16.0,5610,17,2390,5
938,11.057692307692308,2.403126322215923,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,3600,11,8190,18
942,9.615384615384615,2.2633643798407643,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.64,0.512,0.4096,310,1,8680,20
945,10.096153846153847,2.3121545440101965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.5,1.1025,1.157625,1.21550625,6240,19,770,4
952,11.057692307692308,2.403126322215923,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.25,0.125,0.0625,630,2,8090,18
953,16.826923076923077,2.822980167776187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.36,0.216,0.1296,2000,6,7870,17
954,22.0,3.091042453358316,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.44,1.728,2.0736,4760,16,4670,9
955,15.384615384615385,2.7333680090865,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.44,1.728,2.0736,8255,21,1990,5
960,24.03846153846154,3.1796551117149194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,8.41,24.389,70.7281,9130,22,6170,10
966,36.05769230769231,3.5851202198230836,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.69,2.197,2.8561,800,2,9590,22
977,27.16298076923077,3.301855045167493,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.01,0.001,0.0001,1650,5,9480,22
982,19.23076923076923,2.9565115604007097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.5,3.0625,5.359375,9.37890625,1050,3,7460,14
